账户ID,账户名称,公司名称,账户状态,MEG账户一级行业（新）,MEG账户二级行业（新）,运营单位账户属性,发证机关所在市,资质客户ID,原生首次消费日,账户首次消费日,账户最近消费日,SF对应二级账号,管理员,订单行,总消费20231105,总消费20231106,总消费20231107,总消费20231108,总消费20231109,总消费20231110,总消费20231111,总消费20231112,品牌展示总消费20231105,品牌展示总消费20231106,品牌展示总消费20231107,品牌展示总消费20231108,品牌展示总消费20231109,品牌展示总消费20231110,品牌展示总消费20231111,品牌展示总消费20231112,原生自主投放总消费20231105,原生自主投放总消费20231106,原生自主投放总消费20231107,原生自主投放总消费20231108,原生自主投放总消费20231109,原生自主投放总消费20231110,原生自主投放总消费20231111,原生自主投放总消费20231112,凤巢优惠券消费20231105,凤巢优惠券消费20231106,凤巢优惠券消费20231107,凤巢优惠券消费20231108,凤巢优惠券消费20231109,凤巢优惠券消费20231110,凤巢优惠券消费20231111,凤巢优惠券消费20231112,原生CPC优惠券消费20231105,原生CPC优惠券消费20231106,原生CPC优惠券消费20231107,原生CPC优惠券消费20231108,原生CPC优惠券消费20231109,原生CPC优惠券消费20231110,原生CPC优惠券消费20231111,原生CPC优惠券消费20231112,原生CPM优惠券消费20231105,原生CPM优惠券消费20231106,原生CPM优惠券消费20231107,原生CPM优惠券消费20231108,原生CPM优惠券消费20231109,原生CPM优惠券消费20231110,原生CPM优惠券消费20231111,原生CPM优惠券消费20231112,聚屏平台合约消费20231105,聚屏平台合约消费20231106,聚屏平台合约消费20231107,聚屏平台合约消费20231108,聚屏平台合约消费20231109,聚屏平台合约消费20231110,聚屏平台合约消费20231111,聚屏平台合约消费20231112,手百开屏消费20231105,手百开屏消费20231106,手百开屏消费20231107,手百开屏消费20231108,手百开屏消费20231109,手百开屏消费20231110,手百开屏消费20231111,手百开屏消费20231112,度星选-软植互选-消费20231105,度星选-软植互选-消费20231106,度星选-软植互选-消费20231107,度星选-软植互选-消费20231108,度星选-软植互选-消费20231109,度星选-软植互选-消费20231110,度星选-软植互选-消费20231111,度星选-软植互选-消费20231112,闭环电商-原生-消费20231105,闭环电商-原生-消费20231106,闭环电商-原生-消费20231107,闭环电商-原生-消费20231108,闭环电商-原生-消费20231109,闭环电商-原生-消费20231110,闭环电商-原生-消费20231111,闭环电商-原生-消费20231112
10308979,国兴石雕,泉州台商投资区洛阳国兴石雕经营部,用户正常生效,房产家居,家具家居,首次上线新客户,泉州市,61004232,2017-11-20,2015-04-29,2023-11-12,qz维护02,12t022,0,57.59,62.00,60.06,46.10,61.65,43.01,41.65,61.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49598799,BD二类电商度娘房产家居222,德化县度娘精选百货商行,用户帐面为零,直营电商,房产家居,一户多开,泉州市,429639198,"",2023-10-21,2023-11-12,xm电商03,xmds01，xmfq08,0,16.69,10.65,6.57,1.36,4.09,0.00,1.06,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.02,0.05,0.03,4.09,0.00,0.96,0.97
28559421,xm麦芽口腔,厦门麦芽口腔医院有限公司,用户正常生效,整形美容,口腔美容,首次上线新客户,厦门市,429004457,2019-08-09,2019-07-30,2023-11-12,qz医疗01,12t1029,0,5273.90,5299.39,5098.15,3739.04,5816.01,4430.09,4877.29,3624.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3763.13,4193.78,3448.28,2879.47,4667.95,3223.69,4021.49,2616.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49652078,徐Y-律师3,徐悦,用户正常生效,商务服务,法律服务,一户多开,"",429679801,"",2023-10-09,2023-11-12,旺旺116,xmfq05，xmfq08,0,477.44,868.17,763.40,522.90,328.46,564.16,997.49,377.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49584298,fj-尊牛科技B主户,厦门尊牛科技有限公司,用户正常生效,游戏,手机游戏,首次上线新客户,厦门市,429677811,"",2023-08-04,2023-11-12,xm渠道021,xmfq07,0,1583.84,3454.67,3079.27,2124.27,2309.38,2302.67,3451.85,916.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50430180,BD二类电商尚泽度娘食品149,德化县度娘精选百货商行,用户帐面为零,直营电商,食品饮料,一户多开,泉州市,429639198,"",2023-09-19,2023-11-07,xm电商03,xmds01，xmfq08,0,0.43,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00
51389597,厦门程建-教育,北京程建教育科技有限公司厦门分公司,用户正常生效,教育培训,职业培训,一户多开,厦门市,429692437,"",2023-11-08,2023-11-12,xm化保04,xmfq08,0,0.00,0.00,0.00,99.75,229.07,71.69,0.00,78.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51180311,D木狗二分jq02,厦门木狗网络科技有限公司湖里第二分公司,用户正常生效,网络服务,网站建设,一户多开,厦门市,429659431,"",2023-10-27,2023-11-07,clx05,xmfq03,0,3.57,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50093116,漳州珠港,漳州市珠港物流有限公司,用户正常生效,物流业,普通运输,首次上线新客户,漳州市,429691613,"",2023-09-04,2023-11-12,qz新开02,12t041,0,124.46,124.77,97.59,49.64,69.44,113.04,46.88,105.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7958465,qdnhs300wxlww112,黔东南恒生医院,用户正常生效,医疗服务,男科,一户多开,凯里市,427497245,"",2014-11-13,2023-11-12,clx18,xmfq02,0,981.34,1176.95,1213.86,1079.76,599.08,995.67,1408.01,625.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
